critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Caryn James,1,107050.0,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",2003-05-20,10498.0,Grumpy Old Men,18,just dont expect their bickering to be on the level of neil simon and you wont be disappointed
James Berardinelli,1,107050.0,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",2000-01-01,10498.0,Grumpy Old Men,29,while it wont come close to my top  best list for  it will be right up there among the pictures that i had the most fun watching
Roger Ebert,0,107050.0,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",2000-01-01,10498.0,Grumpy Old Men,30,the movie is too pat and practiced to really be convincing and the progress of ariels relationships with the two grumps seems dictated mostly by the needs of the screenplay
Desson Thomson,1,107050.0,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",2000-01-01,10498.0,Grumpy Old Men,13,if you poke through grumpys cheap sentimentality youll find a worthy picture somewhere
Liam Lacey,0,114885.0,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,2002-04-12,16697.0,Waiting to Exhale,17,never escapes the queasy aura of melrose place just another story about beautiful people with small problems
Kenneth Turan,1,114885.0,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,2001-02-13,16697.0,Waiting to Exhale,24,a pleasant if undemanding piece of work that is diverting to sit through though it wont stand up to any kind of rigorous examination
Edward Guthmann,0,114885.0,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",2000-01-01,16697.0,Waiting to Exhale,24,you want the movie to stomp and rejoice and cry like a fool instead it meanders and lollygags occasionally flaring up then sputtering again
Desson Thomson,1,114885.0,Washington Post,This sister-celebratory adaptation of Terry McMillan's best-selling book is frequently delightful.,2000-01-01,16697.0,Waiting to Exhale,11,this sister celebratory adaptation of terry mcmillans best selling book is frequently delightful
Joan Walsh,0,114885.0,Salon.com,"The male-bashing taken to an extreme in Waiting to Exhale is starting to seem a little like crack for the female psyche, exhilarating in the short term but ultimately crippling and dangerous.",2000-01-01,16697.0,Waiting to Exhale,32,the male bashing taken to an extreme in waiting to exhale is starting to seem a little like crack for the female psyche exhilarating in the short term but ultimately crippling and dangerous
Susan Wloszczyna,1,114885.0,USA Today,"Whitaker clumsily mishandles what should be a 'you go, girl!' tour de force.",2000-01-01,16697.0,Waiting to Exhale,13,whitaker clumsily mishandles what should be a you go girl tour de force
Susan Stark,0,114885.0,Detroit News,"For all the pleasure there is in seeing effective, great-looking black women grappling with major life issues on screen, Waiting to Exhale is an uneven piece.",2000-01-01,16697.0,Waiting to Exhale,26,for all the pleasure there is in seeing effective great looking black women grappling with major life issues on screen waiting to exhale is an uneven piece
James Berardinelli,0,114885.0,ReelViews,"With the exception of Bernadine, I never felt anything for the women populating this film, as they failed to capture my interest or sympathy.",2000-01-01,16697.0,Waiting to Exhale,24,with the exception of bernadine i never felt anything for the women populating this film as they failed to capture my interest or sympathy
Roger Ebert,1,114885.0,Chicago Sun-Times,"An escapist fantasy that women in the audience can enjoy by musing, 'I wish I had her problems' - and her car, house, wardrobe, figure and men, even wrong men.",2000-01-01,16697.0,Waiting to Exhale,30,an escapist fantasy that women in the audience can enjoy by musing i wish i had her problems   and her car house wardrobe figure and men even wrong men
Mike Clark,0,113041.0,USA Today,"Martin, Keaton and cinematographer William A. Fraker put this retro fluff over better than expected early on, but hour 2 is only for those who don't want their equilibriums rattled by surprises.",2000-01-01,10379.0,Father of the Bride Part II,32,martin keaton and cinematographer william a fraker put this retro fluff over better than expected early on but hour  is only for those who dont want their equilibriums rattled by surprises
Michael Wilmington,1,113277.0,Chicago Tribune,"When Pacino's loud, bruised cop and De Niro's canny crook stare at each other, you can read something spent and weary in their eyes and voices. The heat is hell. So are their jobs -- but somebody's got to do them.",2014-04-29,13098.0,Heat,41,when pacinos loud bruised cop and de niros canny crook stare at each other you can read something spent and weary in their eyes and voices the heat is hell so are their jobs    but somebodys got to do them
Anthony Lane,1,113277.0,New Yorker,"The taciturn De Niro and the braying Pacino share a flawless scene over a cup of coffee, but the real honors go to Val Kilmer and Ashley Judd as a warring, loving couple.",2014-04-29,13098.0,Heat,33,the taciturn de niro and the braying pacino share a flawless scene over a cup of coffee but the real honors go to val kilmer and ashley judd as a warring loving couple
Steven Rea,0,113277.0,Philadelphia Inquirer,"So why doesn't Heat, with its elaborately staged, tautly edited robberies, its killer cast, edgy score and elegant cinematography, offer more satisfaction? It's the script, stupid.",2014-04-29,13098.0,Heat,26,so why doesnt heat with its elaborately staged tautly edited robberies its killer cast edgy score and elegant cinematography offer more satisfaction its the script stupid
David Ansen,0,113277.0,Newsweek,"Just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like Pulp Fiction, Mann reinvests the genre with brooding, modernist conviction. This one sticks to your gut.",2014-04-29,13098.0,Heat,35,just when it seemed that the only hope for crime movies lay in the postmodernist artifice of films like pulp fiction mann reinvests the genre with brooding modernist conviction this one sticks to your gut
Jonathan Rosenbaum,1,113277.0,Chicago Reader,"There's nothing really new in this lengthy 1995 thriller by writer-director Michael Mann about cops and robbers in Los Angeles, but it has craft, pacing, and an overall sense of proportion, three pretty rare classic virtues nowadays.",2014-04-29,13098.0,Heat,37,theres nothing really new in this lengthy  thriller by writer director michael mann about cops and robbers in los angeles but it has craft pacing and an overall sense of proportion three pretty rare classic virtues nowadays
Dave Kehr,1,113277.0,New York Daily News,"An odd though often entertaining blend of The Asphalt Jungle and Oprah, a traditional cops-and-robbers story weirdly fitted out with long, earnest discussions of interpersonal relationships.",2014-04-29,13098.0,Heat,26,an odd though often entertaining blend of the asphalt jungle and oprah a traditional cops and robbers story weirdly fitted out with long earnest discussions of interpersonal relationships
Jay Boyar,1,113277.0,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",2014-04-29,13098.0,Heat,24,there isnt much going on at this party other than what the actors bring to it but fortunately mann has invited some exceptional ones
John Hartl,1,113277.0,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,2014-04-29,13098.0,Heat,13,heat becomes consistently more interesting as it forges on toward the  minute mark
Todd McCarthy,1,113277.0,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16,13098.0,Heat,11,heat occupies an exalted position among the countless contemporary crime films
Peter Travers,1,113277.0,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14,13098.0,Heat,12,robert de niros last great role before he devoted himself to self parody
Geoff Andrew,1,113277.0,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09,13098.0,Heat,22,this is simply the best american crime movie    and indeed one of the finest movies period    in over a decade
Janet Maslin,0,113277.0,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20,13098.0,Heat,21,as heat progresses its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat and mouse crime tale
Kenneth Turan,1,113277.0,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13,13098.0,Heat,32,michael mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek accomplished piece of work meticulously controlled and completely involving
Andrew Ross,0,113277.0,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",2000-01-01,13098.0,Heat,18,all the squealing tires flying bullets and falling bodies cannot save heat from drowning in its own banalities
Roger Ebert,1,113277.0,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01,13098.0,Heat,14,michael manns writing and direction elevate this material its not just an action picture
Susan Stark,1,113277.0,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01,13098.0,Heat,36,boosters and touts use the term major movie so often that its more likely to generate yawns than excitement at this point back to basics heat is a major movie with major stars doing major acting
Edward Guthmann,1,113277.0,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01,13098.0,Heat,19,this is the first time de niro and pacino have acted together and each gives a strong watertight performance
Andy Spletzer,1,113277.0,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01,13098.0,Heat,19,the cop crime stuff that makes up the bulk of the movie is well thought out and well directed
,1,47437.0,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03,18228.0,Sabrina,21,this is never less than glittering entertainment but somehow a certain measure of lead has found its way into the formula
Variety Staff,1,47437.0,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18,18228.0,Sabrina,31,script is long on glibly quipping dialog dropped with a seemingly casual air and broadly played situations the splendid trouping delivers them style leavening the chuckles are tugs at the heart
Derek Adams,1,47437.0,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24,18228.0,Sabrina,30,its a cinderella story that gets turned on its head a satire about breaking down class and emotional barriers and a confrontation between new world callousness and old world humanity
James Berardinelli,1,47437.0,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01,18228.0,Sabrina,20,hampered by an unimaginative script  nevertheless manages to be a thoroughly charming delightfully romantic variation of the cinderella story
Bosley Crowther,1,47437.0,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01,18228.0,Sabrina,46,it is a story as light as a feather and as old as yesterdays news as transparent as a society column item and as smug as a foreign made car but mr wilderhas made it into a commentary as crisp as a screed in a smart magazine
Geoff Andrew,1,114576.0,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09,15378.0,Sudden Death,22,reuniting hyams and van damme director and star of timecop this spectacular nail biter exploits their combined if limited abilities to the full
Stephen Holden,1,114576.0,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20,15378.0,Sudden Death,14,offers above average pyrotechnics a body count that steadily mounts and plenty of hand to hand combat
Mick LaSalle,1,114576.0,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18,15378.0,Sudden Death,26,sudden death is one of the best action thrillers of  its also the film jean claude van damme has been building up to for  years
Peter Travers,0,114576.0,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",2001-05-12,15378.0,Sudden Death,32,despite the elaborate stunts go go go direction from peter hyams plus butt kicking and surprise goalie action from van damme death deserves the hockey puck booby prize forgetting its jollies by putting kids in jeopardy
Kevin Thomas,1,114576.0,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13,15378.0,Sudden Death,23,a treat for jean claude van damme fans a superior action thriller loaded with jaw dropping stunts and special effects and strong in production values
Roger Ebert,1,114576.0,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",2000-01-01,15378.0,Sudden Death,26,sudden death isnt about common sense its about the manipulation of action and special effects sequences to create a thriller effect and at that its pretty good
Richard Harrington,1,114576.0,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01,15378.0,Sudden Death,27,though the climactic duel atop the arena roof is patently absurd its also exciting as events go into sudden death overtime just like the game being played below
Desson Thomson,0,114576.0,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01,15378.0,Sudden Death,28,van damme races against time trying to thwart boothe and defuse all the bombs but in the hands of director peter hyams these are just banal action movie chores
James Berardinelli,0,114576.0,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01,15378.0,Sudden Death,31,about the best thing that can be said about this movie is that the action scenes directed by peter hyams are choreographed with flair unfortunately the material connecting them is worthless
Anthony Lane,1,113189.0,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23,12812.0,GoldenEye,30,brosnan however looks set to stay hell never recapture the amused cool of the young sean connery but he does overcome the handicap of looking like a humorless male model
Owen Gleiberman,0,113189.0,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13,12812.0,GoldenEye,29,i dont know whether the bond series has a future but if xenia onatopp ever returns to try for world domination he may finally get a battle worth fighting
Jonathan Rosenbaum,1,113189.0,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13,12812.0,GoldenEye,30,theres something a mite pathetic about our culture still clinging to  but its hard to deny that this is one of the most entertaining entries in the bond cycle
Todd McCarthy,1,113189.0,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02,12812.0,GoldenEye,39,among the better of the  bonds and perhaps more important for todays audience a dynamic action entry in its own right this first  adventure in six years breathes fresh creative and commercial life into the  year old series
,1,113189.0,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09,12812.0,GoldenEye,19,director campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films
Rick Groen,0,113189.0,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12,12812.0,GoldenEye,23,they have given james a new car here but its the same old vanity plate the one that should read je me souviens
Kenneth Turan,0,113189.0,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2001-02-13,12812.0,GoldenEye,22,a reasonable facsimile more than any kind of original and its hard not to feel a certain weariness while watching it unfold
Susan Wloszczyna,1,113189.0,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,2000-01-01,12812.0,GoldenEye,12,its bs    babes and stunts    and thats where goldeneye excels
James Berardinelli,1,113189.0,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,2000-01-01,12812.0,GoldenEye,13,perhaps the best entry in the series since the spy who loved me
Roger Ebert,1,113189.0,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",2000-01-01,12812.0,GoldenEye,30,watching the film i got caught up in the special effects and the neat stunts and i observed with a certain satisfaction bonds belated entry into a more modern world
Geoff Andrew,1,112346.0,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24,10129.0,The American President,15,part romantic comedy part capra corny political drama this movie exudes so much sympathy it sweats
Janet Maslin,1,112346.0,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20,10129.0,The American President,36,with great looks a dandy supporting cast a zinger filled screenplay by aaron sorkin and mr douglas twinkling merrily in the oval office the american president is sunny enough to make the real presidency pale by comparison
,1,112346.0,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13,10129.0,The American President,15,genial middlebrow fare that coasts a long way on the charm of its two stars
Richard Corliss,1,112346.0,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,2000-01-01,10129.0,The American President,11,as bustling and impassioned as the best sturges and capra movies
James Berardinelli,0,112346.0,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01,10129.0,The American President,17,neither bad nor unwatchable the american president is nevertheless the second straight disappointment from director rob reiner
Tom Keogh,1,112346.0,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",2000-01-01,10129.0,The American President,14,you cant dislike this movie but you wont be swept away by it either
Sean Means,1,112346.0,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,2000-01-01,10129.0,The American President,20,the american president will make you laugh and make you smile but it probably wont make you change your vote
Susan Stark,1,112346.0,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01,10129.0,The American President,21,apart from its too obvious political bias the american president has romance in its heart smarts in abundance and class to spare
Paula Nechak,1,112346.0,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,2000-01-01,10129.0,The American President,17,the american president becomes a pretty darn entertaining and affecting movie after its first simpering  minutes
Edward Guthmann,1,112346.0,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01,10129.0,The American President,23,capraesque has inevitably been affixed to the american president but that phrase with its implications of facile hokum doesnt do the film justice
Susan Rathke,0,112346.0,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",2000-01-01,10129.0,The American President,14,when it comes right down to it high office does not guarantee high comedy
Owen Gleiberman,1,112346.0,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17,10129.0,The American President,38,the image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination and douglas wearing a fast break smile in place of his usual frown strikes a tender rapport with bening
Jonathan Rosenbaum,0,112896.0,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,10445.0,Dracula: Dead and Loving It,20,either this is the lamest mel brooks comedy ever or its too close to other contenders to make much difference
Joe Leydon,0,112896.0,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,10445.0,Dracula: Dead and Loving It,26,the only real sparks are set off by macnicol as renfield the solicitor who develops a taste for flies and spiders after being bitten by dracula
,0,112896.0,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,10445.0,Dracula: Dead and Loving It,28,brooks as van helsing is one of the more successful aspects but he hasnt imbued in his stock company a similar ability to rise above their underwritten roles
David Kronke,0,112896.0,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,10445.0,Dracula: Dead and Loving It,16,not to venture forth some sort of radical idea but arent comedies supposed to have jokes
James Berardinelli,0,112896.0,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,10445.0,Dracula: Dead and Loving It,11,its a toothless parody that misses more often than it hits
Susan Wloszczyna,0,112896.0,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,10445.0,Dracula: Dead and Loving It,27,if any movie proves that mel brooks genius for skewering creaky genres has evaporated its this anemic attempt to draw new blood from low flying vampire high jinks
Desson Thomson,0,112896.0,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,10445.0,Dracula: Dead and Loving It,19,dracula is anemic and mediocre with only one or two moments to remind you of the former funnier brooks
Mick LaSalle,1,112896.0,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,10445.0,Dracula: Dead and Loving It,20,nielsen makes a dapper and calmly inept dracula but its brooks irrepressible and oblivious van helsing whos the main attraction
Susan Wloszczyna,0,112453.0,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,9562.0,Balto,26,the love story is pure mush not helped by the bland voice work done by kevin bacon as balto and bridget fonda as dainty husky jenna
Geoff Andrew,0,113987.0,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26,16248.0,Nixon,13,as wayward and self regarding as its subject the film long overstays its welcome
Janet Maslin,1,113987.0,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20,16248.0,Nixon,36,what it finally adds up to is a huge mixed bag of waxworks and daring a film that is furiously ambitious even when it goes flat and startling even when it settles for eerie movie of the week mimicry
Hal Hinson,1,113987.0,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2001-02-16,16248.0,Nixon,12,without question nixon dwarfs everything in the american cinema since schindlers list
Kenneth Turan,1,113987.0,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13,16248.0,Nixon,28,nixon starts like a horror movie on a dark and stormy night with the president prowling around a room of the white house like dracula in his lair
Todd McCarthy,0,113987.0,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13,16248.0,Nixon,20,nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of watergate
James Berardinelli,1,113987.0,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01,16248.0,Nixon,17,factual or not theres no denying that nixon has moments when it is nothing short of compelling
John Hartl,0,113987.0,Film.com,There's no compelling structure or viewpoint to hold the picture together.,2000-01-01,16248.0,Nixon,11,theres no compelling structure or viewpoint to hold the picture together
Roger Ebert,1,113987.0,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01,16248.0,Nixon,47,thoughts of hamlet macbeth and king lear come to mind here again is a ruler destroyed by his fatal flaws theres something almost majestic about the process as nixon goes down in this film there is no gloating but a watery sigh as of a great ship
Susan Stark,1,113987.0,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01,16248.0,Nixon,15,thoughtful well researched and carefully modulated the film also marks director oliver stones coming of age
Mike Clark,1,113987.0,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,2000-01-01,16248.0,Nixon,15,joan allen goes beyond her chilling physical resemblance to pat nixon toward serious oscar worthiness
Lyall Bush,0,113987.0,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,2000-01-01,16248.0,Nixon,19,i never felt that i was seeing the darkness reaching out to the darkness as nixon was once described
Richard Corliss,0,113987.0,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",2000-01-01,16248.0,Nixon,14,real life if its real nixon is more dramatic than an oliver stone movie
